artistName	artistID	genre	img	popularity	numFollowers
Florence + The Machine	1moxjboGR7GNWYIMWsRjgG	chamber pop	https://i.scdn.co/image/fca10d0cc2eb43803df106f9d58448c31ec4f04e	79	4094952
Childish Gambino	73sIBHcqh3Z3NyqHKZ7FOL	hip hop	https://i.scdn.co/image/0ac898747b4ad4c4faf6025221a95266e04bf972	82	4084436
Kesha	6LqNN22kT3074XbTVUrhzX	dance pop	https://i.scdn.co/image/89b1ac81bbe79cd957772a13092e871b549aff63	79	4070953
Pearl Jam	1w5Kfo2jwwIPruYS2UWh56	alternative rock	https://i.scdn.co/image/8a7775f16a99af5d353d4eb31ec0ccf908a6a6d1	78	4043867
Kygo	23fqKkggKUBHNkbKtXEls4	edm	https://i.scdn.co/image/1caaca2be637b0c56bb0ede637e36a8bcca149d1	88	3960755
Khalid	6LuN9FCkKOj5PcnpouEgny	indie r&b	https://i.scdn.co/image/e52c824585bfeef4d674b509437120805300f557	96	3953192
U2	51Blml2LZPmy7TTiAg47vQ	irish rock	https://i.scdn.co/image/e22d5c0c8139b8439440a69854ed66efae91112d	81	3915985
Snoop Dogg	7hJcb9fa4alzcOq3EaNPoG	g funk	https://i.scdn.co/image/b6110a0ff25000578e4bd1bbd72ad6efaa5d6b4e	85	3912359
Blake Shelton	1UTPBmNbXNTittyMJrNkvw	contemporary country	https://i.scdn.co/image/7b484c0e5dc706eda31f26ab4ca4e3431ecd0748	75	3882219
Slipknot	05fG473iIaoy82BF1aGhL8	alternative metal	https://i.scdn.co/image/45348ca2899ca2df2594c67c9a7faa9106f33be5	79	3868066
Frank Ocean	2h93pZq0e7k5yf4dywlkpM	hip hop	https://i.scdn.co/image/7db34c8aace6feb91f38601bb75e6b3301b4657a	83	3863761
Lorde	163tK9Wjr9P9DmM0AVK7lm	art pop	https://i.scdn.co/image/d25fc756cd04c8b3ea196b7c07c6d057685cc405	79	3852052
Tiësto	2o5jDhtHVPhrJdv3cEQ99Z	big room	https://i.scdn.co/image/d3376e521d1df8b187778dfd60e95100ce21c539	83	3834219
5 Seconds of Summer	5Rl15oVamLq7FbSb0NNBNy	boy band	https://i.scdn.co/image/f60b24c9bbe05579f8a9f1210c9805d1ed2a65dc	85	3787150
Travis Scott	0Y5tJX1MQlPlqiwlOH1tJY	pop	https://i.scdn.co/image/dc5eba5e032c2e5bc4d42c89d61ffee5875c981f	96	3765905
Jason Mraz	4phGZZrJZRo4ElhRtViYdl	acoustic pop	https://i.scdn.co/image/0139b01c55d497621fa5e31621ef51e004c7e168	81	3711284
Christina Aguilera	1l7ZsJRRS8wlW3WfJfPfNS	dance pop	https://i.scdn.co/image/e3ea6d2340bba0d93450a813a0843fd9cf998e39	80	3705342
2 Chainz	17lzZA2AlOHwCwFALHttmp	hip hop	https://i.scdn.co/image/8a0f9090548262a85cceef38650642d3037fd1e0	86	3704590
Chance the Rapper	1anyVhU62p31KFi8MEzkbf	conscious hip hop	https://i.scdn.co/image/f5aceffb43876273fa72b7c3c002d7e3218075fd	84	3675115
Mariah Carey	4iHNK0tOyZPYnBU7nGAgpQ	dance pop	https://i.scdn.co/image/1dbdc3d7ad81455c46f26b820950a00795430ea0	84	3673874
Iron Maiden	6mdiAmATAx73kdxrNrnlao	album rock	https://i.scdn.co/image/9f68b33e6fde32b994986d3a1e8b28ec329288ef	76	3667186
Radiohead	4Z8W4fKeB5YxbusRsdQVPb	alternative rock	https://i.scdn.co/image/afcd616e1ef2d2786f47b3b4a8a6aeea24a72adc	80	3665883
Nick Jonas	4Rxn7Im3LGfyRkY2FlHhWi	dance pop	https://i.scdn.co/image/8e5dd07e94cace984d0c020638d26d30a901a69c	76	3645320
Gorillaz	3AA28KZvwAUcZuOKwyblJQ	alternative hip hop	https://i.scdn.co/image/fa3734a1c2e10634172434d45952da7bc1203bf0	80	3644852
Trey Songz	2iojnBLj0qIMiKPvVhLnsH	dance pop	https://i.scdn.co/image/c4ab20fb84ebdccb730c2f0ae05aea3ec316fa26	79	3638277
Zedd	2qxJFvFYMEDqd7ui6kSAcq	complextro	https://i.scdn.co/image/019b8d30dfda54e54dcb2067f0753aa77310e14d	86	3605504
Kings of Leon	2qk9voo8llSGYcZ6xrBzKx	garage rock	https://i.scdn.co/image/6c9f1c7f7d35c8a880dc520bfb24f7ebcaf0bc14	78	3573997
G-Eazy	02kJSzxNuaWGqwubyUba0Z	hip hop	https://i.scdn.co/image/4639a259413a5ba51509884b1debb935246b9c71	86	3555084
Iggy Azalea	5yG7ZAZafVaAlMTeBybKAL	dance pop	https://i.scdn.co/image/c71f9594a01480d957b2c83053e3db5bc17734c1	75	3544480
Young Thug	50co4Is1HCEo8bhOyUWKpn	gangster rap	https://i.scdn.co/image/c208b441d87c28572867665518e764cc49b23753	88	3504609
Harry Styles	6KImCVD70vtIoJWnq6nGn3	dance pop	https://i.scdn.co/image/0d5beba53acf92820f5b7dfb59ce615c99800a13	76	3504485
Avril Lavigne	0p4nmQO2msCgU4IF37Wi3j	canadian pop	https://i.scdn.co/image/035ad2a01098302eb1d195668fe153c364cb77b1	80	3471394
My Chemical Romance	7FBcuc1gsnv6Y1nwFtNRCb	emo	https://i.scdn.co/image/160080823e35fcf4d47c8dfad20f5b13c7acf921	77	3440947
Whitney Houston	6XpaIBNiVzIetEPCWDvAFP	dance pop	https://i.scdn.co/image/cef7e2b0709802736d9e6f7b1970403265c88271	78	3423942
Luke Bryan	0BvkDsjIUla7X0k6CSWh1I	contemporary country	https://i.scdn.co/image/85b7f6d10ae06d21300c9d95f7ea18b35d1df547	78	3408026
The Doors	22WZ7M8sxp5THdruNY3gXt	album rock	https://i.scdn.co/image/b8c3d75acf2d800defb05b8515445e6d064c97d5	76	3404700
Oasis	2DaxqgrOhkeH0fpeiQq2f4	britpop	https://i.scdn.co/image/2a8c10fe954e2038fb74251cba601a5594cc5878	80	3334154
David Bowie	0oSGxfWSnnOXhD2fKuz2Gy	art rock	https://i.scdn.co/image/6efa04809a6358a5da0e701d24449cfb8348ebf5	82	3286346
Prince Royce	3MHaV05u0io8fQbZ2XPtlC	bachata	https://i.scdn.co/image/a1a440590285acec0f83387fe921df798156c2eb	82	3284354
D J Khaled	0QHgL1lAIqAw0HtD7YldmP	dance pop	https://i.scdn.co/image/dd7834e289baa171bd16ccd7ef4eeb3b3ebabc71	82	3269945
John Mayer	0hEurMDQu99nJRq8pTxO14	neo mellow	https://i.scdn.co/image/71deaefa2ea4896400dba94a27d33b0c51156d64	84	3247711
The Notorious B.I.G.	5me0Irg2ANcsgc93uaYrpb	east coast hip hop	https://i.scdn.co/image/1b4858fbd24046a81cace5ee18d19c868262b91f	80	3230853
Fetty Wap	6PXS4YHDkKvl1wkIl4V8DL	pop	https://i.scdn.co/image/345ba48efb55e88a86e7421e992794e551570bdb	79	3227011
Nickelback	6deZN1bslXzeGvOLaLMOIF	alternative metal	https://i.scdn.co/image/3cab7a705d1fefebd1f7c8bf03f27587ae697ead	78	3202004
Cartel De Santa	07PdYoE4jVRF6Ut40GgVSP	latin hip hop	https://i.scdn.co/image/05a80829403493fd2b1cb370348c9bc4e9372d34	78	3175992
fun.	5nCi3BB41mBaMH9gfr6Su0	metropopolis	https://i.scdn.co/image/37bc85c957e17d3463ae40da1c8ade6bb5ecd546	71	3145635
Stevie Wonder	7guDJrEfX3qb6FEbdPA5qi	adult standards	https://i.scdn.co/image/c59faacbed7aa770266bad048660810eca204108	78	3127849
Black Sabbath	5M52tdBnJaKSvOpJGz8mfZ	album rock	https://i.scdn.co/image/5931700f9515dd6587230130beb615e0549e47dc	74	3109454
Logic	4xRYI6VqpkE3UwrDrAZL8L	conscious hip hop	https://i.scdn.co/image/efa0b73c2cdaf40b1767b4b1e1254b1cfc5b51db	87	3103457
Rita Ora	5CCwRZC6euC8Odo6y9X8jr	dance pop	https://i.scdn.co/image/4443630c26eb4a4bda8316c027635808fe00a3cc	86	3056352
Bastille	7EQ0qTo7fWT7DPxmxtSYEc	metropopolis	https://i.scdn.co/image/51e9fa0ec4b5aa86398893360acbf14d9bdca88e	87	3024137
Carly Rae Jepsen	6sFIWsNpZYqfjUpaCgueju	canadian pop	https://i.scdn.co/image/41fd2206d8bd6520b1bd88c441ac2f3db4b875ce	74	3006063
James Arthur	4IWBUUAFIplrNtaOHcJPRM	dance pop	https://i.scdn.co/image/d86bd24d469b92954c6385907ae4bd147212f033	84	2966181
Niall Horan	1Hsdzj7Dlq2I7tHP7501T4	dance pop	https://i.scdn.co/image/2870f08298c8c391f6ce13638a9a5cdaa9845762	77	2958552
K I S S	07XSN3sPlIlB2L2XNcTwJw	album rock	https://i.scdn.co/image/74925968b2f76706c62bed18af92ef43241e7756	73	2937710
Carrie Underwood	4xFUf1FHVy696Q1JQZMTRj	contemporary country	https://i.scdn.co/image/fffa82e3c01a6c9d5e5c85846045ec67a4aa01dd	75	2922960
Prince	5a2EaR3hamoenG9rDuVn8j	funk	https://i.scdn.co/image/2df771ec0ca4da2492eadd811b2553395756cfa4	75	2918167
L M F A O	3sgFRtyBnxXD5ESfmbK4dl	dance pop	https://i.scdn.co/image/2d75f5222d8a92d5e12419ae3e5238261f943df6	68	2915490
Johnny Cash	6kACVPfCOnqzgfEF5ryl0x	outlaw country	https://i.scdn.co/image/4eac84cd2ac4bf737f80ab9cd2357d41a11229fb	78	2889511
Jeremih	3KV3p5EY4AvKxOlhGHORLg	dance pop	https://i.scdn.co/image/48e38236955edc0ac5dbe291992dbf82a90e6d6d	83	2871088
Bob Dylan	74ASZWbe4lXaubB36ztrGX	album rock	https://i.scdn.co/image/ef9b0b5b8083cf68958daa46382e309bf771b39f	76	2852696
6ix9ine	7gZfnEnfiaHzxARJ2LeXrf	emo rap	https://i.scdn.co/image/7d241987c2f5c33548644e6f85bd619aadae9822	89	2834004
Michael Bublé	1GxkXlMwML1oSg5eLPiAz3	adult standards	https://i.scdn.co/image/6bf4c3c955399c4c45cd0677a860a42f39b6a508	86	2807865
The Lumineers	16oZKvXb6WkQlVAjwo2Wbg	folk-pop	https://i.scdn.co/image/372caf0f2f847da6880b22eaa3762e5f7e8eb07e	79	2806017
Steve Aoki	77AiFEVeAVj2ORpC85QVJs	big room	https://i.scdn.co/image/9fb14e9cb53a341db6c4ef132e0c01f9c9a1dd40	84	2797480
Keith Urban	0u2FHSq3ln94y5Q57xazwf	australian country	https://i.scdn.co/image/7c3954e6c88355a8cd5b41e1131765aa1b7afbce	75	2785382
Destiny's Child	1Y8cdNmUJH7yBTd9yOvr5i	dance pop	https://i.scdn.co/image/09e0720e919c908765aa64678a6ad8aac37659f6	76	2746386
M C G15	3Nipsl6GVwwGyeAk0J29C6	brazilian electronica	https://i.scdn.co/image/6e325318cdb5a6243a5db9e3a7b10b38c80f0087	72	2743165
Kid Cudi	0fA0VVWsXO9YnASrzqfmYu	hip hop	https://i.scdn.co/image/e69bd60976fd81d1368adc34423c691d86f92e0d	78	2740527
